Creating table for average temperatures...
Fetching and inserting data for cities in batches...
Calculating and storing average temperatures for cities with dominant_pollutant = 1...

Average Temperatures for Cities:
(1, 8.760000000000048)
(3, 8.700000000000045)
(4, 10.095000000000027)
(7, 15.800000000000011)
(8, 5.910000000000025)
(9, -0.15999999999996817)
(10, 21.960000000000036)
(11, 20.879999999999995)
(12, 1.920000000000016)
(14, 16.420000000000016)
(16, 23.05000000000001)
(17, 5.1299999999999955)
(18, 25.680000000000007)
(19, 6.350000000000023)
(20, 21.640000000000043)
(21, 15.390000000000043)
(22, -7.239999999999952)
(23, 25.930000000000007)
(24, 15.930000000000007)
(25, 23.99000000000001)
(28, -0.060000000000002274)
(29, 11.160000000000025)
(31, 26.150000000000034)
(33, 22.670000000000016)
(34, 13.900000000000034)
(37, 20.140000000000043)
(39, 26.390000000000043)
(43, 4.2000000000000455)
(44, 8.439999999999998)
(49, 5.400000000000034)
(50, 8.730000000000018)
(56, 17.170000000000016)
(60, 11.060000000000002)
(68, 5.720000000000027)
(70, 10.75)

City Average Temperatures Table:
(1, 8.760000000000048)
(3, 8.700000000000045)
(4, 10.095000000000027)
(7, 15.800000000000011)
(8, 5.910000000000025)
(9, -0.15999999999996817)
(10, 21.960000000000036)
(11, 20.879999999999995)
(12, 1.920000000000016)
(14, 16.420000000000016)
(16, 23.05000000000001)
(17, 5.1299999999999955)
(18, 25.680000000000007)
(19, 6.350000000000023)
(20, 21.640000000000043)
(21, 15.390000000000043)
(22, -7.239999999999952)
(23, 25.930000000000007)
(24, 15.930000000000007)
(25, 23.99000000000001)
(28, -0.060000000000002274)
(29, 11.160000000000025)
(31, 26.150000000000034)
(33, 22.670000000000016)
(34, 13.900000000000034)
(37, 20.140000000000043)
(39, 26.390000000000043)
(43, 4.2000000000000455)
(44, 8.439999999999998)
(49, 5.400000000000034)
(50, 8.730000000000018)
(56, 17.170000000000016)
(60, 11.060000000000002)
(68, 5.720000000000027)
(70, 10.75)
(85, 9.260000000000048)
(89, 19.29000000000002)
